way_id,point_index,lat,lon
27119844,1,50.1079277,14.40633
27119844,2,50.1079378,14.4062882
27119844,3,50.1079952,14.4062031
27119844,4,50.1080538,14.4061387
27119844,5,50.1080961,14.4061031
27119844,6,50.1082115,14.4060603
27119844,7,50.1082421,14.4060353
27119844,8,50.1082657,14.4059798
27119844,9,50.1082758,14.4059222
27119844,10,50.1082772,14.4058621
27119844,11,50.1082441,14.4051123
27119844,12,50.1082514,14.4050319
27119844,13,50.1083049,14.4047036
27119848,0,50.1104602,14.4179858
27119848,1,50.1102148,14.4181102
27119848,2,50.1100628,14.4181872
27119848,3,50.1095658,14.4184152
27119852,0,50.1086088,14.4189928
27119852,1,50.1085486,14.4187259
27119852,2,50.1085128,14.4185669
27119852,3,50.1077491,14.4152619
27119852,4,50.1076904,14.4150953
27119852,5,50.1076846,14.4150789
27119852,6,50.1076516,14.4150242
27119852,7,50.1076221,14.4149806
27119854,0,50.1079195,14.4240872
27119854,1,50.1078878,14.4241221
27119854,2,50.1073719,14.4246891
27119854,3,50.107148,14.4250043
27119854,4,50.1069453,14.425456
27119854,5,50.1067873,14.4260124
27119856,0,50.1079195,14.4240872
27119856,1,50.1082173,14.4238262
27119856,2,50.1083799,14.4236713
27119856,3,50.1085126,14.4234935
27119856,4,50.1086458,14.4232662
27119856,5,50.1087686,14.4230235
27119856,6,50.1088925,14.4226708
27119856,7,50.1089679,14.4223631
27119856,8,50.1089951,14.4222522
27119856,9,50.1090463,14.4219987
27119856,10,50.1090831,14.4216348
27119856,11,50.1090937,14.4213268
27119856,12,50.1090422,14.4208437
27119856,13,50.1089167,14.420287
27119856,14,50.1087337,14.4195036
27119858,0,50.1051835,14.4286622
27119858,1,50.1050576,14.428986
27119858,2,50.1049799,14.4291857
27119858,3,50.1049016,14.4293849
27119858,4,50.1047762,14.4296841
27119858,5,50.104582,14.430174
27119858,6,50.1044913,14.4303951
27127020,0,50.1069741,14.4266813
27127020,1,50.1068159,14.4267642
27127020,2,50.1066766,14.4269205
27127020,3,50.1065118,14.4271059
29917734,0,50.1061381,14.419467
29917734,1,50.106125,14.4196186
29917742,0,50.106125,14.4196186
29917742,1,50.1060972,14.4198085
29917742,2,50.1060546,14.4200149
29917742,3,50.1060878,14.4202456
29917742,4,50.106134,14.4204416
29917742,5,50.1061868,14.420604
29917742,6,50.1062932,14.4208906
29917742,7,50.106492,14.4213392
29917742,8,50.1067164,14.4220034
29917746,0,50.1054234,14.4172265
29917746,1,50.1054355,14.4175988
29917746,2,50.1054314,14.4177377
29917746,3,50.1054225,14.4178617
29917750,0,50.1054225,14.4178617
29917750,1,50.10536,14.418015
29917750,2,50.1053218,14.4181743
29917750,3,50.1053,14.4183197
29917750,4,50.1052669,14.4185982
29917750,5,50.1052489,14.4188694
29917750,6,50.1052504,14.4189916
29917750,7,50.1052534,14.4190422
29917750,8,50.10526,14.4190871
29917750,9,50.1052816,14.4191484
29917750,10,50.1053284,14.4192303
29917750,11,50.1054032,14.4193262
29917750,12,50.1055696,14.4195383
29917750,13,50.1057562,14.4197622
29917750,14,50.1059007,14.4198992
29917750,15,50.1060546,14.4200149
29919508,0,50.1044834,14.4155384
29919508,1,50.1044983,14.4160137
29919508,2,50.1043814,14.4169388
29919508,3,50.1043722,14.4170434
29919508,4,50.1043643,14.4171978
29919508,5,50.104363,14.4174284
29919508,6,50.1044021,14.4181699
29919508,7,50.1044375,14.418643
29919508,8,50.1044704,14.4188557
29919508,9,50.1044771,14.418892
29919510,0,50.1044704,14.4188557
29919510,1,50.104514,14.4186254
29919510,2,50.1045573,14.4183629
29919510,3,50.104608,14.4181649
29919510,4,50.1046293,14.4181387
29919510,5,50.104649,14.4181255
29919510,6,50.1046339,14.4182088
29919510,7,50.1046207,14.418331
29919510,8,50.1046168,14.4184049
29919510,9,50.104619,14.4184684
29919510,10,50.1046278,14.4185437
29919510,11,50.1046643,14.418741
29919510,12,50.104716,14.4189832
29919510,13,50.1047972,14.4193719
29919510,14,50.1050266,14.4192524
29919511,0,50.1044771,14.418892
29919511,1,50.1045282,14.4189782
29919511,2,50.1045924,14.4191136
29919511,3,50.104634,14.4191877
29919511,4,50.1046694,14.4192411
29919511,5,50.1047972,14.4193719
29919511,6,50.1049743,14.4200561
29919511,7,50.10522,14.42077
29919511,8,50.1051541,14.4209755
29919511,9,50.1050558,14.4211765
29919511,10,50.1049947,14.4213043
29919511,11,50.1048989,14.4214224
29919511,12,50.1047634,14.4215448
29919511,13,50.1046441,14.4216265
29919511,14,50.1045073,14.42169
29919511,15,50.1044317,14.4216877
29919511,16,50.1043677,14.4216446
29919511,17,50.1043244,14.4215825
29919511,18,50.1043013,14.4215419
29919511,19,50.1042879,14.4214896
29919511,20,50.1042916,14.4214373
29919511,21,50.1043103,14.4213665
29919511,22,50.1043512,14.4212085
29919511,23,50.1043646,14.4210477
29919511,24,50.1043627,14.4208619
29919511,25,50.104342,14.4207145
29919511,26,50.1043068,14.4203543
29919511,27,50.1043169,14.420012
29919511,28,50.1041305,14.419594
29919511,29,50.1040937,14.4195642
29919513,0,50.10522,14.42077
29919513,1,50.1053277,14.4209657
30025204,0,50.1052876,14.4171927
30025204,1,50.1051161,14.4171431
30025205,0,50.1050428,14.4171197
30025205,1,50.1050074,14.4171648
30025205,2,50.1049915,14.4172687
30025205,3,50.1049166,14.417338
30025206,0,50.1050428,14.4171197
30025206,1,50.1050221,14.4170543
30025206,2,50.1050436,14.4168628
30025207,0,50.1051801,14.415657
30025207,1,50.1051712,14.4157148
30025207,2,50.1050807,14.416299
30025207,3,50.1049963,14.4168474
30025207,4,50.1049166,14.417338
30025207,5,50.1048708,14.4175546
30025207,6,50.1048233,14.4179288
30025207,7,50.104784,14.417981
30025207,8,50.1047509,14.4180348
30025209,0,50.1077622,14.4173354
30025209,1,50.107595,14.4175172
30025210,0,50.1064498,14.4122821
30025210,1,50.1064069,14.4123034
30025210,2,50.1061366,14.4121694
30025210,3,50.1060928,14.4121507
30025210,4,50.1060542,14.4121455
30025210,5,50.1060186,14.4121477
30025210,6,50.1058902,14.4121719
30025211,0,50.1045787,14.4148646
30025211,1,50.1046667,14.4152515
30025212,0,50.1050257,14.4127129
30025212,1,50.1050142,14.4133749
30025212,2,50.1049636,14.4139324
30025213,0,50.1052224,14.4133731
30025213,1,50.1051358,14.413056
30025213,2,50.1050257,14.4127129
30025213,3,50.1048978,14.4120151
30025213,4,50.1047869,14.4112916
30025213,5,50.1047541,14.4109458
30025213,6,50.1047277,14.4106675
30025213,7,50.1047173,14.410388
30025213,8,50.1045798,14.4100162
30025213,9,50.1045519,14.4099156
