way_id,point_index,lat,lon
306823971,1,49.0837585,17.3382711
306823976,0,49.083075,17.3384508
306823976,1,49.0831058,17.3385269
306823980,0,49.0821757,17.339376
306823980,1,49.0821477,17.3393185
306823985,0,49.0838124,17.3363689
306823985,1,49.0837941,17.3362908
306823987,0,49.08428,17.3372254
306823987,1,49.0843737,17.3376413
306823996,0,49.0831058,17.3385269
306823996,1,49.0831988,17.3387433
306823996,2,49.0832566,17.3389135
306823996,3,49.0833014,17.3389949
306823996,4,49.0833662,17.3390459
306823996,5,49.0835136,17.3391231
306823996,6,49.0835449,17.3392141
306823996,7,49.0835766,17.3393623
306823996,8,49.0835926,17.3395177
306823996,9,49.0835859,17.3396372
306823996,10,49.0835642,17.3397671
306823996,11,49.0834145,17.3402035
306823996,12,49.0833753,17.3403358
306823996,13,49.0833464,17.3405297
306823996,14,49.0833901,17.3408047
306823996,15,49.0834223,17.3409295
306823996,16,49.083529,17.3412406
306823996,17,49.0836518,17.3415968
306823996,18,49.0836673,17.3416614
306823996,19,49.0837036,17.3418362
306823996,20,49.0837344,17.3421109
306823996,21,49.0837478,17.3423332
306823996,22,49.0837466,17.342344
306823996,23,49.0837366,17.3424333
306823996,24,49.0837373,17.3425147
306823996,25,49.0837414,17.3429582
306823996,26,49.0837661,17.3436223
306823996,27,49.0837853,17.3437876
306823996,28,49.0837927,17.3438511
306823996,29,49.0838345,17.3440355
306823998,0,49.0838237,17.3378417
306823998,1,49.0837495,17.3378819
306823998,2,49.0836993,17.3379952
306823998,3,49.0837115,17.3380543
306824000,0,49.0840902,17.339876
306824000,1,49.0838995,17.338956
306824000,2,49.0838036,17.3384708
356355962,0,49.0836885,17.3365902
356355962,1,49.0835246,17.3366672
356355962,2,49.0834278,17.336724
356355962,3,49.0833845,17.3367274
356355962,4,49.0832185,17.3367751
356355962,5,49.0829718,17.336938
356355962,6,49.0828578,17.3370972
356355962,7,49.0827483,17.3373393
356355962,8,49.0827235,17.3374727
356355962,9,49.0827327,17.337609
356355962,10,49.0828367,17.3378999
356355962,11,49.0829252,17.3381121
356355962,12,49.0829448,17.338147
356355962,13,49.083075,17.3384508
356355964,0,49.0850765,17.3388499
356355964,1,49.0850902,17.3389234
356355965,0,49.085015,17.3385195
356355965,1,49.0849104,17.338571
356355965,2,49.0848467,17.3386024
356355965,3,49.0849685,17.339201
356355966,0,49.0850902,17.3389234
356355966,1,49.0851196,17.339081
356355967,0,49.0841426,17.3379971
356355967,1,49.0841571,17.3380836
356355967,2,49.0842728,17.3386153
356355967,3,49.0843923,17.338693
356355967,4,49.084328,17.3388781
356355967,5,49.084468,17.3395599
356355967,6,49.084494,17.3396848
356355967,7,49.08451,17.3397614
356355967,8,49.0845832,17.3400916
356355967,9,49.0847456,17.3402796
356355967,10,49.084773,17.3402778
356355967,11,49.08477,17.3403822
356355967,12,49.0847191,17.3405374
356355967,13,49.0846994,17.3405973
356355967,14,49.0846807,17.3407702
356355967,15,49.0846914,17.3408831
356355967,16,49.0846893,17.3409596
356355967,17,49.0846242,17.3410995
356355967,18,49.084464,17.3413348
356355967,19,49.0843496,17.3414873
356355967,20,49.0842663,17.3416357
356355967,21,49.0841887,17.3418429
356355967,22,49.0841596,17.3419235
356355967,23,49.084087,17.3421419
356355967,24,49.0837466,17.342344
356355968,0,49.0848762,17.3377499
356355968,1,49.0849519,17.3381816
356355968,2,49.085001,17.3384442
356355968,3,49.085015,17.3385195
356355968,4,49.0850593,17.3387576
356355968,5,49.0850765,17.3388499
356355969,0,49.0849452,17.3392196
